day,session,worked_well,could_be_improved
Day 1,"Basic setup and workflow and Importing data, fast s",learn to import large data set,nothing
Day 1,"Basic setup and workflow and Importing data, fast s",Good explaining of the coding proces. Nice with the exercises,Maybe a little less group talk.
Day 1,"Basic setup and workflow and Importing data, fast s",The instructions on the website and the coding along,Perhaps take this one slowly as many people were lagging behind and new things were coming up that needed trouble shooting
Day 1,"Basic setup and workflow and Importing data, fast s",Code along,Maybe less reading time
Day 1,"Basic setup and workflow and Importing data, fast s",Everything ran very smooth throughout the day,"I think sometimes it's quite stressful (applies to all sessions) when we are told to read something in e.g. ""10 minutes"", it actually makes me have to read things over again and taking longer because I feel stressed to read it in time and thus miss things"
Day 1,"Basic setup and workflow and Importing data, fast s","Good with small data sets, so you could see what happened",It was a bit slow session. In my opinion we could have speeded ud.
Day 1,"Basic setup and workflow and Importing data, fast s",Easy to follow. Taking plenty of time to help everyone get through the exercises,"Sometimes I would have liked that you explained what the different functions did. Also, an explanation in the beginning of what the pre-course set up did."
Day 1,"Basic setup and workflow and Importing data, fast s",Very impressed over the structure. Help was fast. Everyone was prepared because f the pre-work. Well done.,No improvements needed
Day 1,"Basic setup and workflow and Importing data, fast s","Good mix between reading exercises, code-along, individual coding time (with nice good opportunity for trouble-shooting with team-mates or supervisor).","Sometimes a bit of confusion, but as you say it's bound to happen, and it was always possible to catch up. Maybe would help if the line between ""help-time"" and ""speaker time"" was more clear, so that the speaker doesn't have to speak over the supervisors."
Day 1,"Basic setup and workflow and Importing data, fast s","good speed, easy-to-follow and easy-to-understand session",sometimes too lengthy time for own excercise
Day 1,"Basic setup and workflow and Importing data, fast s",step vise introduction,more clear presentation of the goal
Day 1,"Basic setup and workflow and Importing data, fast s",It was good to learn about how vroom works and how to use it in our data,"The diagram explaining the workflow looks a bit confusing. I would try and simplify it a little bit, maybe by just showing each part independently for each session"
Day 1,"Basic setup and workflow and Importing data, fast s",Coding along and hands on was very good,Explain just a little more or more slowly what is been doing why when doing coding along. Just a little break of 1-2 minutes of explanations during the coding along
Day 1,"Basic setup and workflow and Importing data, fast s",Examples,more explanation for reasons behind inserted codes
Day 1,"Basic setup and workflow and Importing data, fast s",We learnt about vroom command and it worked very well.,Everything was okay.
Day 1,"Basic setup and workflow and Importing data, fast s","A nice way to import data, very useful!",Maybe some exercises on how to combine csv-files in dataframes.
Day 1,"Basic setup and workflow and Importing data, fast s","teaching, and backup for help",a bit slow in pace while running codes
Day 1,"Basic setup and workflow and Importing data, fast s",The typing of commands and getting results. Super nice tutors and lots of help.,the sticky notes - they keep falling of - but I have no better idea how to indicate that one is done.
Day 1,"Basic setup and workflow and Importing data, fast s","the coding alongside the instructor and the use of ""stickies""","Personally, 4 examples is plenty. Progression to next exercise is a bit too slow for me"
Day 1,"Basic setup and workflow and Importing data, fast s",The reading material is very good and easy to follow. Also the dynamic of the classes helps to keep attention even when the things get a bit more complicated.,Nothing to report
Day 1,"Basic setup and workflow and Importing data, fast s",code along was nice. It was helpful to understand the steps involved to import data.files.,I think the content could have been covered in less time.
Day 1,"Basic setup and workflow and Importing data, fast s","Code along, step-by-step approach",Define in the beginning why the column types are important to define
Day 1,"Basic setup and workflow and Importing data, fast s",Code-alongeasy access to helpstickiesdiscussionsGreat to switch methods/ways to learn,Shorter lunch break - perhaps 45 min?perhaps a word or two about git for those who is not familiar with the website (even though I know that was part of the pre-course preparation)
Day 1,"Basic setup and workflow and Importing data, fast s",hands on,more contents and a bit faster
Day 1,"Basic setup and workflow and Importing data, fast s","The format of reading, listening, discussing and coding. The learning manifested well.",Discussing what we would like out of importing data would be nice to initiate the workshop.
Day 1,"Basic setup and workflow and Importing data, fast s",The code-along is a great setup when I run into problems. The code chunks seem fairly intuitive when you begin to learn to use them :),Nothing runs necessarily fast. I ran into a lot of problems with my own computer setup
