day,session,worked_well,could_be_improved
Day 1,"Basic setup and workflow and Importing data, fast s","It work very welll, excellent",maybe include the fist part of excercise in the precourse
Day 1,"Basic setup and workflow and Importing data, fast s","Good time, easy to get help",Explaining why we write everything. I need to understand why I have to write this and this and not just how to make it work.
Day 1,"Basic setup and workflow and Importing data, fast s",Yes it was very well planned out.,Maybe also include a short intro to rstudios Import dataset click and choose as this in some cases might be the fastest and that it allows you to save the code so that you can make it reproducible
Day 1,"Basic setup and workflow and Importing data, fast s","Overall, it was fine",NA
Day 1,"Basic setup and workflow and Importing data, fast s",Know more packages to fast load of data.,For my level it could be done faster - though it is nice to have a slow start just to get in to it
Day 1,"Basic setup and workflow and Importing data, fast s",Nice to have a session to make sure everyone is ready with respect to set-up before coding-sessions begin.,Emphasize in pre-course reading material/e-mail reminders for the same that first part of the course can be spent setting things up. Potentially saves some time for some people.
Day 1,"Basic setup and workflow and Importing data, fast s",The code-along was great! Really good with several instructors; no waiting time,Pretty much perfect..
Day 1,"Basic setup and workflow and Importing data, fast s",I liked the overview of the course and the framework for importing data,It was great
Day 1,"Basic setup and workflow and Importing data, fast s",Very relevant tasks and interesting topics.,We spent to much time waiting for some individual technical problems.
Day 1,"Basic setup and workflow and Importing data, fast s",It was slow enough for me to follow:),nothing
Day 1,"Basic setup and workflow and Importing data, fast s","The code-alongs were very good, and the fact that we had to do multiple repetitions through the exercises gave time for the method to sink in.","Perhaps more info in the beginning of ""the why"" of what we were doing."
Day 1,"Basic setup and workflow and Importing data, fast s",Really nice that we did the tap-along. Especially with Luke who made breaks frequently and asked for the blue stickers,"a little more time spent on introducing the RProject setup, how to use the different folders, why use it and is everything saved if you change computer or likewise?"
Day 1,"Basic setup and workflow and Importing data, fast s","I was just behind from the beginning, so basically everything only worked when a ""helper"" moved me to the online R studio, but THEN it worked, with side by side help :-)","Think it was fine, but high tempo"
Day 1,"Basic setup and workflow and Importing data, fast s",Codealong works really well,Maybe a little more pre-tasks to prepare for this crucial sessions
Day 1,"Basic setup and workflow and Importing data, fast s",Worked well - nice slow tempo for us beginners!,NA
Day 1,"Basic setup and workflow and Importing data, fast s",Everything,No need to repeat what we just read :-)
Day 1,"Basic setup and workflow and Importing data, fast s",Doing exercises together and getting help,Everything was good
Day 1,"Basic setup and workflow and Importing data, fast s","It is organized very well, I can follow step by step and practice when doing exercise. And helpers will come when I encounter problems, which is very helpful.","I would like to suggest to reduce time on doing similar exercise. It would be cool to include more info, but it is understandable due to the limited time"
Day 1,"Basic setup and workflow and Importing data, fast s",Very nice to learn vroom and that we repeated for example git many times.,"Perhaps more ""tests"" in the precourse material to minimize the issues in the beginning of the session."
Day 1,"Basic setup and workflow and Importing data, fast s",It is good to write the code several times to memorize. Good to learn the vroom package,I'm not sure that I know how Git works yet. It would be good to see where it is used
Day 1,"Basic setup and workflow and Importing data, fast s",Instructions were very clear,"It would be better if everyone has done the precourse tasks, I felt that we could have saved a lot more time."
Day 1,"Basic setup and workflow and Importing data, fast s","Generally it worked really great with code-along, and then performing very similar exercises - allowed to really try out and understand what was taught. Also, really happy with the course material and structure so far.","Very minor comment, but I think sometimes it was difficult to understand why is it of benefit to use some specific functions within the vroom package (import data -> spec -> specify the columns again)."
Day 1,"Save time, don’t repeat yourself: Making functions",explanation and speed was fantastic,it was fine in my opinion
Day 1,"Save time, don’t repeat yourself: Making functions","Good time, easy to get help",The same as before. Maybe making a functions that do something with the data (and not just import it) would be more interesting.
Day 1,"Save time, don’t repeat yourself: Making functions","That we made almost the same functions over and over so that it became really clear what the ""skeleton"" of a function is",Sorry I have no ideas it worked really well :)
