Questions,Responses
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,be able to use R more sufficiantly - also with large dataset and how to organise then/make the data fit for analysing
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Better understanding of the initial process going into to analysing big data sets
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Build on what I already learned in the beginners course. I would like to open the door of sharing/working on the same projects with others.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Datamanagement, more skills in using Rmarkdown, Git"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Develop my R skills to use R more systematically
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to become even more comfortable with RStudio and managing data. Hopefully comfortable enough to attack my own data after the course ends. Importing/wrangling/cleaning data has proved to be a hard and lengthy task, when it's not these learning dataset."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn how to be more effective and reproducible in my coding including learning using both version control and R projects in a better way. Afterwards I will start over again on my analyzation of my current data and implement my new habits in this.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to be able to organize and document my data + analysis in a reproducible manner, which in the end will do: more efficient work, ensure correct documentation and analysis and easy pass-on to colleges."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to enhance my R  skills after having taken the beginners course in June this year, so that I am confident in applying them in my research"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would expect to learn a more systematic way of working with R and use of git.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would like to improve my usage of R to analyze large datasets, with few samples and a lot of variables. I am developing a R pipeline analysis for specific measurements that I run regularly and I would like to have it in a R-markdwon to have a report to send with the results of the analysis"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to learn more about how to use R so that I can start to analyze my own data using R
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Improve my skills using R
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn and demonstrate what an open and reproducible data processing and analysis workflow looks like.    Learn and apply some fundamental concepts, techniques, and skills needed for processing and managing data in a reproducible and well-documented way.    Learn where to go to get help and to continue learning modern data science and analysis skills."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Learn appropriate data management in R
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Learn basic principles in reproducible data analysis and in generel increase my skills within this. Also to learn new functionalities in R including Git.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn how to use R (intermediate level), data management in R, descriptive analysis"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,To use functions and analyse my own data
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"With this course, we aim to begin addressing this gap. Using a highly practical approach that revolves around code-along sessions (instructor and learner coding together), hands-on exercises, and group work, participants of the course will be able to:Learn and demonstrate what an open and reproducible data processing and analysis workflow looks like.Learn and apply some fundamental concepts, techniques, and skills needed for processing and managing data in a reproducible and well-documented way.Learn where to go to get help and to continue learning modern data science and analysis skills.The course will enable participants to answer questions such as:What does a modern data analysis setup and workflow look like?How can I create pipelines that get, process, and clean my data quickly and that works regardless of whether there is one data file or hundreds (i.e. it scales well)?How can I write code that is more reproducible, readable, and easily re-used for my future self and for my collaborators and colleagues?By the end of the course, participants will: have improved their competency in processing and wrangling datasets; have improved their proficiency in using the R statistical computing language; know how to write re-usable and well-documented code; and know how to make modern and reproducible data analysis projects."
Please describe the problems you've had.,"> usethis::use_r(functions, open = FALSE)✓ Setting active project to '/Users/hxv222/Desktop/LearnR3'• Edit 'R/functions.R'• Call `use_test()` to create a matching test file> r3::create_rmarkdown_doc()✓ Created `lesson.Rmd` file in the `doc/` folder.> usethis::use_data_raw(mmash)✓ Adding '^data-raw$' to '.Rbuildignore'✓ Writing 'data-raw/mmash.R'• Modify 'data-raw/mmash.R'• Finish the data preparation script in 'data-raw/mmash.R'• Use `usethis::use_data()` to add prepared data to packageAll the •  were red dots in my code output so I am not sure everything worked the way that it should have"
Please describe the problems you've had.,Downloading the data. But it worked out in the end :-) I'm also not sure the folders in my data-raw/ looks right?
Please describe the problems you've had.,Fejl: [ENOENT] Failed to move 'C:/Users/au606536/Desktop/LearnR3/data-raw/DataPaper'to 'C:/Users/au606536/Desktop/LearnR3/data-raw/mmash/DataPaper': no such file or directory
Please describe the problems you've had.,Problems with setting up the LearnR3 project in a folder on my H-drive. I could only direct the project to my desktop (which will be deleted in few weeks as I change my computer)
Please describe the problems you've had.,"Technical issues when downloaded R packages. They didn't run the first time, but the next time it worked. I might have skipped a step or something."
Please describe the problems you've had.,The last two steps did not work - but I will try to figure it out
"In your opinion, what could be improved?",-
