id,survey_item,response
49d28d732b,I think I learned a lot from this course,Strongly agree
49d28d732b,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
49d28d732b,I think the content on the website clearly communicated the concepts,Agree
49d28d732b,I think the instructors clearly communicated the concepts,Strongly agree
49d28d732b,I think there was good alignment between the learning activities,Agree
49d28d732b,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
49d28d732b,"In general, I think this is a good course",Strongly agree
7f6c033842,I think I learned a lot from this course,Strongly disagree
7f6c033842,I think there was a good mix of learning activities that encouraged my active participation,Strongly disagree
7f6c033842,I think the content on the website clearly communicated the concepts,Strongly disagree
7f6c033842,I think the instructors clearly communicated the concepts,Strongly disagree
7f6c033842,I think there was good alignment between the learning activities,Strongly disagree
7f6c033842,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Disagree
7f6c033842,"In general, I think this is a good course",Strongly disagree
c186ab585e,I think I learned a lot from this course,Agree
c186ab585e,I think there was a good mix of learning activities that encouraged my active participation,Agree
c186ab585e,I think the content on the website clearly communicated the concepts,Agree
c186ab585e,I think the instructors clearly communicated the concepts,Agree
c186ab585e,I think there was good alignment between the learning activities,Agree
c186ab585e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
c186ab585e,"In general, I think this is a good course",Strongly agree
0884fe10c1,I think I learned a lot from this course,Strongly agree
0884fe10c1,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
0884fe10c1,I think the content on the website clearly communicated the concepts,Strongly agree
0884fe10c1,I think the instructors clearly communicated the concepts,Strongly agree
0884fe10c1,I think there was good alignment between the learning activities,Strongly agree
0884fe10c1,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
0884fe10c1,"In general, I think this is a good course",Strongly agree
63ddfe29d0,I think I learned a lot from this course,Strongly agree
63ddfe29d0,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
63ddfe29d0,I think the content on the website clearly communicated the concepts,Strongly agree
63ddfe29d0,I think the instructors clearly communicated the concepts,Strongly agree
63ddfe29d0,I think there was good alignment between the learning activities,Strongly agree
63ddfe29d0,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
63ddfe29d0,"In general, I think this is a good course",Strongly agree
bd35788f13,I think I learned a lot from this course,Strongly agree
bd35788f13,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
bd35788f13,I think the content on the website clearly communicated the concepts,Strongly agree
bd35788f13,I think the instructors clearly communicated the concepts,Strongly agree
bd35788f13,I think there was good alignment between the learning activities,Strongly agree
bd35788f13,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
bd35788f13,"In general, I think this is a good course",Strongly agree
fd023b9c21,I think I learned a lot from this course,Strongly agree
fd023b9c21,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
fd023b9c21,I think the content on the website clearly communicated the concepts,Agree
fd023b9c21,I think the instructors clearly communicated the concepts,Agree
fd023b9c21,I think there was good alignment between the learning activities,Strongly agree
fd023b9c21,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
fd023b9c21,"In general, I think this is a good course",Strongly agree
4d42e7fb97,I think I learned a lot from this course,Strongly agree
4d42e7fb97,I think there was a good mix of learning activities that encouraged my active participation,Agree
4d42e7fb97,I think the content on the website clearly communicated the concepts,Strongly agree
4d42e7fb97,I think the instructors clearly communicated the concepts,Agree
4d42e7fb97,I think there was good alignment between the learning activities,Strongly agree
4d42e7fb97,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
4d42e7fb97,"In general, I think this is a good course",Strongly agree
