id,survey_item,response
d02042d3bb,I think I learned a lot from this course,Strongly agree
d02042d3bb,I think there was a good mix of learning activities that encouraged my active participation,Agree
d02042d3bb,I think the content on the website clearly communicated the concepts,Strongly agree
d02042d3bb,I think the instructors clearly communicated the concepts,Agree
d02042d3bb,I think there was good alignment between the learning activities,Agree
d02042d3bb,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
d02042d3bb,"In general, I think this is a good course",Strongly agree
9d6e7dcb7a,I think I learned a lot from this course,Agree
9d6e7dcb7a,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
9d6e7dcb7a,I think the content on the website clearly communicated the concepts,Agree
9d6e7dcb7a,I think the instructors clearly communicated the concepts,Agree
9d6e7dcb7a,I think there was good alignment between the learning activities,Agree
9d6e7dcb7a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
9d6e7dcb7a,"In general, I think this is a good course",Agree
75106d8150,I think I learned a lot from this course,Strongly agree
75106d8150,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
75106d8150,I think the content on the website clearly communicated the concepts,Agree
75106d8150,I think the instructors clearly communicated the concepts,Strongly agree
75106d8150,I think there was good alignment between the learning activities,Agree
75106d8150,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
75106d8150,"In general, I think this is a good course",Strongly agree
dc4ffad444,I think I learned a lot from this course,Strongly agree
dc4ffad444,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
dc4ffad444,I think the content on the website clearly communicated the concepts,Strongly agree
dc4ffad444,I think the instructors clearly communicated the concepts,Strongly agree
dc4ffad444,I think there was good alignment between the learning activities,Strongly agree
dc4ffad444,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
dc4ffad444,"In general, I think this is a good course",Strongly agree
edc83cd77b,I think I learned a lot from this course,Strongly agree
edc83cd77b,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
edc83cd77b,I think the content on the website clearly communicated the concepts,Strongly agree
edc83cd77b,I think the instructors clearly communicated the concepts,Strongly agree
edc83cd77b,I think there was good alignment between the learning activities,Strongly agree
edc83cd77b,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
edc83cd77b,"In general, I think this is a good course",Strongly agree
469bd332ef,I think I learned a lot from this course,Strongly agree
469bd332ef,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
469bd332ef,I think the content on the website clearly communicated the concepts,Strongly agree
469bd332ef,I think the instructors clearly communicated the concepts,Agree
469bd332ef,I think there was good alignment between the learning activities,Strongly agree
469bd332ef,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
469bd332ef,"In general, I think this is a good course",Strongly agree
254c26ffe9,I think I learned a lot from this course,Agree
254c26ffe9,I think there was a good mix of learning activities that encouraged my active participation,Agree
254c26ffe9,I think the content on the website clearly communicated the concepts,Strongly agree
254c26ffe9,I think the instructors clearly communicated the concepts,Neutral
254c26ffe9,I think there was good alignment between the learning activities,Agree
254c26ffe9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
254c26ffe9,"In general, I think this is a good course",Agree
06d357ad30,I think I learned a lot from this course,Agree
06d357ad30,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
06d357ad30,I think the content on the website clearly communicated the concepts,Strongly agree
06d357ad30,I think the instructors clearly communicated the concepts,Strongly agree
06d357ad30,I think there was good alignment between the learning activities,Strongly agree
06d357ad30,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
06d357ad30,"In general, I think this is a good course",Strongly agree
b59297d28f,I think I learned a lot from this course,Strongly agree
b59297d28f,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
b59297d28f,I think the content on the website clearly communicated the concepts,Strongly agree
b59297d28f,I think the instructors clearly communicated the concepts,Strongly agree
b59297d28f,I think there was good alignment between the learning activities,Strongly agree
b59297d28f,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
b59297d28f,"In general, I think this is a good course",Strongly agree
2392cf5ee6,I think I learned a lot from this course,Strongly agree
2392cf5ee6,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
2392cf5ee6,I think the content on the website clearly communicated the concepts,Strongly agree
2392cf5ee6,I think the instructors clearly communicated the concepts,Agree
2392cf5ee6,I think there was good alignment between the learning activities,Strongly agree
2392cf5ee6,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
2392cf5ee6,"In general, I think this is a good course",Strongly agree
5fa5189565,I think I learned a lot from this course,Strongly agree
5fa5189565,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
5fa5189565,I think the content on the website clearly communicated the concepts,Strongly agree
5fa5189565,I think the instructors clearly communicated the concepts,Strongly agree
5fa5189565,I think there was good alignment between the learning activities,Strongly agree
5fa5189565,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
5fa5189565,"In general, I think this is a good course",Strongly agree
22046dca6a,I think I learned a lot from this course,Strongly agree
22046dca6a,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
22046dca6a,I think the content on the website clearly communicated the concepts,Strongly agree
22046dca6a,I think the instructors clearly communicated the concepts,Strongly agree
22046dca6a,I think there was good alignment between the learning activities,Strongly agree
22046dca6a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
22046dca6a,"In general, I think this is a good course",Strongly agree
1bfbb203e6,I think I learned a lot from this course,Neutral
1bfbb203e6,I think there was a good mix of learning activities that encouraged my active participation,Neutral
1bfbb203e6,I think the content on the website clearly communicated the concepts,Agree
1bfbb203e6,I think the instructors clearly communicated the concepts,Neutral
1bfbb203e6,I think there was good alignment between the learning activities,Neutral
1bfbb203e6,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Disagree
1bfbb203e6,"In general, I think this is a good course",Disagree
4148e43d1d,I think I learned a lot from this course,Agree
4148e43d1d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
4148e43d1d,I think the content on the website clearly communicated the concepts,Strongly agree
4148e43d1d,I think the instructors clearly communicated the concepts,Strongly agree
4148e43d1d,I think there was good alignment between the learning activities,Strongly agree
4148e43d1d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
4148e43d1d,"In general, I think this is a good course",Strongly agree
